pattern,result,sim_time,timing_violations,stall_total,stall_load_use,stall_mem,stall_mul,stall_ifetch,stall_dmem,stall_imem,branch_wrong,branch_wrong_cycles,cycle_count
QSort_uncompressed,PASS,19934000,0,16493,4655,11838,0,573,11833,545,2027,4054,79718
Conv,PASS,3565000,0,7816,1560,6050,1308,1583,5845,566,79,158,14242
LFSR_HIST,PASS,69447250,0,18955,0,18955,0,635,18449,604,4115,8230,277771
